Key,xTSNE,yTSNE
statistical reporting,5.5998025,-11.850603
risk assessment,3.7879047,-14.653891
equipment cleaning,12.997964,5.568784
memoranda preparation,6.938639,-20.799597
business-to-business sales,-9.102356,-21.10069
good manufacturing practices (gmp),35.056267,27.069775
activities of daily living (adls),21.973232,-2.295931
electrocardiogram (ekg / ecg),28.427362,-1.7955725
system architecture,-30.547825,5.042186
adls assistance,21.973946,-2.293514
product design,-9.577452,22.136488
system/network configuration,-42.64589,17.190416
business communications,1.5527332,-11.626458
lean six sigma,-4.133882,19.95744
accounting systems,1.9286257,-26.274439
data quality,-37.187893,-5.5273046
patient transportation and transfer,25.588573,-2.5272567
electrical work,-7.368358,40.69779
psychiatry,25.962294,-14.742334
needs assessment,0.72107685,-12.828749
javascript object notation (json),-48.305126,-12.3623705
devops,-58.822296,-7.9329557
prototyping,-11.09173,22.3457
claims adjustments,10.731988,-25.615131
assisted living,19.98453,-11.35725
brand awareness generation,-17.841988,-26.131458
facility maintenance,9.806718,19.590284
medical triage,27.542118,-5.6391916
proofreading,6.1615286,-17.599281
dialysis,22.50715,2.039833
processing item returns,8.224985,-0.38679832
post anesthesia care unit (pacu),32.45402,-3.135865
electrical engineering,-7.94733,31.71065
unix shell,-46.951397,1.9981167
pivot tables,-1.2353556,-24.844408
application support,-31.808662,2.9685702
mortgage lending,1.7767773,-50.40162
legal documentation,12.870164,-28.91649
management consulting,-5.521759,-13.65638
ibm websphere,-47.063396,-5.151205
cardiology,35.619984,-5.1765404
client/server,-33.039543,3.7974992
scalability design,-43.2766,-6.586058
network security,-51.365986,16.630919
neonatal intensive care unit (nicu),32.33465,-3.247477
human resource information system (hris),7.610442,-35.963142
leadership development,6.731839,-14.077365
criminal justice,13.372354,-0.3437517
digital marketing,-20.667534,-33.369823
atlassian jira,-53.558735,-4.0132847
apache hadoop,-60.272167,-13.53528
lean manufacturing,-3.8100429,20.813595
angularjs,-48.3491,-12.765353
medical billing,25.295166,-31.787537
retail operations,0.40938225,-6.614425
continuous integration (ci),-53.687065,-5.932818
strategic thinking,-3.2195454,-14.525604
client needs assessment,0.69286865,-12.9123745
progress reports,3.8191566,-8.733831
catheterization laboratory (cath lab),32.5745,-2.6832745
competitive analysis,-13.715622,-25.365952
brand experience,-16.125853,-28.293682
product delivery,-1.5172013,-7.0370398
tax returns,0.17551555,-32.907284
sales administration,-11.250411,-24.157341
business case analysis,-4.7826705,-13.831268
policy development,8.807313,-9.734116
human resource management,10.184522,-37.883427
dentistry,40.189682,38.723557
software testing,-52.879436,0.08954408
social work,23.164799,-14.1492405
sales meetings,-10.658594,-22.909803
mail sorting,8.7677145,-20.22617
consultative sales,-10.546235,-21.66695
virtual private networking (vpn),-44.052113,17.292484
crisis intervention,23.865744,-15.009258
financial industry knowledge,-5.0081654,-44.560043
network troubleshooting,-42.470066,17.005226
audit planning,0.7028579,-37.48191
product marketing,-14.180618,-23.975014
order entry,8.764308,3.0728014
voice over ip (voip),-43.945232,21.811512
nationwide mortgage licensing system (nmls),2.7550611,-50.638313
policy implementation,8.650676,-9.620043
ruby,-56.09388,-9.633781
patient preparation,26.71596,-1.0723741
data mining,-49.14869,-28.877958
management information system (mis),-32.2721,3.9860396
family medicine,33.90262,-6.136445
automotive services industry knowledge,-3.3810642,42.6132
data structures,-39.078465,-4.647664
java server pages (jsp),-48.540184,-7.773201
faculty training,5.0398703,-10.374307
contract negotiation,1.9412487,-18.195545
child development,20.755157,-17.625408
sales reporting,-10.013258,-25.18549
engineering design and installation,-5.93385,29.168959
profit targets,-11.9958935,-25.53307
sap businessobjects,-35.63482,-5.8407702
hazard analysis critical control point (haccp),26.535318,28.164816
staffing,12.105254,-43.724606
physiology,29.754932,-3.7074702
middleware,-43.515488,-5.242347
materials transport,10.72098,11.778737
market analysis,-12.975955,-25.804317
hardware troubleshooting,-39.265926,13.893732
new product development,-9.357106,21.668585
hydraulics,-4.9816666,38.523075
benchmarking,-1.5057547,-11.574495
transact-sql,-38.080185,-4.4514356
it support,-39.19517,13.162716
outsourcing,-4.5443945,-11.536582
babysitting,18.790335,-15.893543
lotus applications,-35.63396,9.058802
pharmaceutical sales,2.9070284,-41.951298
anatomy,29.73051,-3.681913
tableau,-47.995422,-28.164293
engineering design,-5.9108477,29.132614
lead generation,-11.157584,-20.101954
process engineering,-3.8945324,24.410967
commissioning,-4.9302707,32.285152
sales cycle,-12.2498665,-20.282938
account closing,-6.0464387,-20.541595
revenue projections,-2.7121305,-23.638987
order management,8.185463,2.762712
over the road,13.334613,12.887818
project design,-4.985818,29.47573
multimedia,-30.59382,-27.555407
talent acquisition,10.232233,-42.498814
mortgage underwriting,1.480284,-50.229637
obstetrics/gynecology,34.962116,-5.286702
customer acquisition,-10.1922035,-27.6087
apache tomcat,-49.655025,-6.1802464
application design,-42.20988,-6.8045535
costing,1.2879174,-3.23343
direct mail,-17.86491,-26.67923
wound care/ treatment,31.60584,-4.2900367
financial advising,-6.1923084,-41.652145
sales prospecting,-10.495115,-21.504635
chinese,14.72748,-22.014359
version control,-44.866623,-8.185637
visual basic,-35.965282,-2.1614976
hospitality industry knowledge,-1.0317572,-20.37632
engineering management,-5.950806,28.189783
strategic development,-3.5405462,-14.922313
equipment repair,10.2681055,16.676353
grinders,-9.829828,44.530636
patient monitoring,25.07534,-2.6139486
cognos impromptu,-35.579964,-6.0074606
marketing management,-17.062494,-27.298006
robotics,-8.966195,32.833813
medical records maintenance,29.220724,-28.403479
cash deposits and receipts,3.7027562,-24.362986
promotional materials,-18.631409,-25.458586
handling of crisis or emergency situations,15.581542,-0.2575783
customer experience improvement,-3.0995555,-13.639413
annuities,9.772037,-3.9726284
talent management,9.543296,-39.301014
restaurant operations,11.327645,-16.39065
law enforcement or criminal justice experience,13.492263,-0.26463628
performance testing,-53.078476,0.5337851
nosql,-57.944927,-11.343869
marketing communications,-17.34276,-27.274504
solaris,-46.497585,3.825963
public administration,11.283291,-12.098769
global positioning system (gps),-6.272221,9.571984
microsoft powershell,-46.20595,10.575785
management training,6.578516,-13.833102
production management,2.8061016,-2.13538
ethernet,-41.806526,18.62678
surveys,5.463097,-11.165512
continuous quality improvement,11.083425,-7.3550744
red hat linux,-46.685787,5.1681833
matlab,-23.311977,19.533552
early childhood education,20.310179,-17.836843
health promotion programs,27.888332,-9.929495
informatica,-37.364754,-7.177386
tutoring,20.60293,-37.981415
requirements verification and validation,-29.833462,4.337381
urgent care,33.13913,-5.9761553
new business development,-3.2043116,-16.142672
cost analysis,1.4222947,-3.8020267
sql server reporting services (ssrs),-37.696156,-4.669946
ultrasound,32.759926,6.49295
soldering,-11.043008,37.21225
advertising,-17.691048,-34.80278
icd-9-cm coding,29.160316,-33.267517
relational database management system (rdbms),-39.883617,-4.09099
report writing,3.8204517,-12.1157
cost accounting,0.7463924,-27.155996
clinical trials,46.449863,-21.845448
chemical engineering,-2.2867546,25.8465
mergers and acquisitions,-2.4081564,-28.42111
community relations,0.7939734,-14.303944
legal document composition,12.856073,-28.86439
nursing home,20.104763,-11.271825
industrial engineering,-1.9611993,21.631773
lotus notes,-35.593277,9.062575
citrix,-45.181587,10.769247
hyperion,-28.766973,-11.77897
machine learning,-52.958153,-28.28382
patient contact,25.826159,-3.5283978
accounting management,1.8758036,-27.923653
5s methodology,-3.6265132,20.706932
authentication,-51.88274,12.525688
document management,4.730494,-16.630177
employee engagement,10.109214,-39.310596
microsoft exchange,-44.263363,11.053924
it management,-30.292187,2.4612432
blood pressure measurement,25.07377,-1.139534
