,SOC,SkillChange
483,Nursing Assistants,3.3524071851529267
484,Medical Appliance Technicians,3.3454927833290653
485,"Helpers--Installation, Maintenance, and Repair Workers",3.3454366664520867
486,"Food Servers, Nonrestaurant",3.3436040777293616
487,Medical Secretaries,3.3435218665910513
488,Team Assemblers,3.342701388547201
489,Appraisers and Assessors of Real Estate,3.342685487370599
490,Economists,3.33865169555481
491,Lawyers,3.3377771915203778
492,Billing and Posting Clerks,3.3367674424706717
493,Travel Agents,3.3357701104792215
494,Paralegals and Legal Assistants,3.333282651687563
495,"Interviewers, Except Eligibility and Loan",3.3312085629084396
496,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",3.3305687559253054
497,Fabric and Apparel Patternmakers,3.3265154639175254
498,"Office Clerks, General",3.32620627339014
499,Broadcast News Analysts,3.325170068027211
500,Broadcast Technicians,3.324427955516407
501,Audiologists,3.3229972850921734
502,"Political Science Teachers, Postsecondary",3.311826027125138
503,Orderlies,3.311301567659165
504,Lodging Managers,3.307407476546944
505,Writers and Authors,3.280977911389525
506,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.2789366740698886
507,"Installation, Maintenance, and Repair Workers, All Other",3.2687311609953102
508,Parts Salespersons,3.2610238079353513
509,Logging Equipment Operators,3.2580174927113674
510,"Shipping, Receiving, and Traffic Clerks",3.2536641219681264
511,Butchers and Meat Cutters,3.245325186900955
512,Veterinary Assistants and Laboratory Animal Caretakers,3.240763332150656
513,Real Estate Sales Agents,3.235601909775635
514,Word Processors and Typists,3.2353965094473502
515,Operating Engineers and Other Construction Equipment Operators,3.22273832715706
516,Mechanical Drafters,3.220035922339196
517,Emergency Medical Technicians and Paramedics,3.21501248193893
518,Atmospheric and Space Scientists,3.204102463985474
519,Packaging and Filling Machine Operators and Tenders,3.196701081378846
520,Retail Salespersons,3.19201010592727
521,Architectural and Civil Drafters,3.190598318682124
522,Tellers,3.1882008407892433
523,Electricians,3.1881138141405785
524,Dishwashers,3.1855932673019125
525,Plasterers and Stucco Masons,3.1827111984282896
526,Respiratory Therapy Technicians,3.1773331342377036
527,"Psychologists, All Other",3.173144480438785
528,Water and Wastewater Treatment Plant and System Operators,3.171694882092799
529,"Geoscientists, Except Hydrologists and Geographers",3.1683884825918445
530,Oral and Maxillofacial Surgeons,3.1631882712179125
531,Gaming and Sports Book Writers and Runners,3.160800552104894
532,Phlebotomists,3.154570939681665
533,Surveyors,3.154271610971283
534,Healthcare Social Workers,3.1528205962319915
535,Stock Clerks and Order Fillers,3.151639478362609
536,"Inspectors, Testers, Sorters, Samplers, and Weighers",3.1509898856325913
537,Helpers--Carpenters,3.146449515325944
538,Audio and Video Equipment Technicians,3.144871490326886
539,Ophthalmic Medical Technicians,3.143531808194247
540,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3.143398392466977
541,Mental Health and Substance Abuse Social Workers,3.139112542134475
542,Licensed Practical and Licensed Vocational Nurses,3.136897486098978
543,Registered Nurses,3.1360770840422507
544,Editors,3.1302202866463067
545,Pharmacists,3.121539930184866
546,"Logging Workers, All Other",3.102061528774465
547,Craft Artists,3.0984708313463556
548,Nurse Practitioners,3.0924217853590146
549,Floor Sanders and Finishers,3.0904838522401197
550,Bill and Account Collectors,3.086048632869121
551,"Education Administrators, Elementary and Secondary School",3.086002473963366
552,Athletic Trainers,3.0827365666861706
553,First-Line Supervisors of Police and Detectives,3.0750990989381304
